hospital_name,address,phone_no,hospital_rating,username,password
Aman Medical Clinic,"Palam Extension, Palam, New Delhi, Delhi 110077",9037819028,4.7,amanmedical,aman@123
Gouri Clinic ,"Shop No.167, First Floor, Vardhman Star City Mall , Sector 7 , Dwarka, Landmark: Near Ramphal Chowk., Delh",011 4119 3907,4.5,gouriclinic,gouri@123
 S.D. Homoeopathy ,"150, 169, 1st Floor, Vardhman City Mall, Landmark: Near Ramphal Chock, Delhi",011 4084 4821,4.5,sdhomeopathy,sd@123
Homeosure - Home Of Homeopathy and Wellness,"38 Raj Nagar, Near Rajdhani Enclave, Pitampura",7590247800,4.7,homeosurehome,homeosure@123
St. Stephen's Hospital,"St. Stephen's Hospital, Tis Hazari, Delhi 110054, India",23966021 - 27,3.4,ststephenhospital,ststephen@123
Personal Touch Mediclinic,"S 39, Masjid Road, Bhogal, Delhi - 110014, Near Shiv Mandir",9910767107,3.9,personaltouch,personal@123
Nirmal ENT Clinic,"D-769, Basment, Main road, Landmark: Opposite Market Number -2, CR Park, Delhi",011 4057 4667,4.5,nirmalent,nirmal@123
Max Hospital,"1 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi 110017",011-40554055,4.2,maxhospital,max@123
Safdarjung Hospital,"Ansari Nagar East, near to AIIMS Metro Station, New Delhi, Delhi 110029",011 2673 0000,4.1,safdarjunghospital,safdarjung@123
Ayurvedic Sexologist Hakim Hari Kishan Lal Dawakhana,"East Patel Nagar, 1/14, Ground Floor, Main Road, Landmark: Opposite Metro Pillar Number 173, Delhi",011 4116 8757,4.5,ayurvedicsexologist,ayurvedic@123
Moolchand Hospital,"Lala Lajpat Rai Marg, Near Moolchand Metro Station, Block M, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024",011 4200 0000,1.1,moolchandhospital,moolchand@123
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
