patient_name,nhid,gender,age,patient_address,phone_number,x_ray_report,x_ray_report,x_ray_report,medical_report,medical_report,medical_report,username,password,
Mr. Susheel Kumar,100001,M,26,"Hyderabad, telangana, ",8142011668,,,,,,,100001,susheel26,
Shrimant Balasaheb Patil,100003,M,64,AGRA,8142111668,,,,,,,100003,sbpatil64,
Pradip Pandey,100006,M,47,AHMADNAGAR,8141111662,,,,,,,100006,pradipp47,
Khulbhusan Jhadav,100007,M,48,AKBARPUR,8142111663,,,,,,,100007,kukbhushan48,
Ambedkar Prakash Yashwant,100009,M,60,BERHAMPUR,9037819028,,,,,,,100009,apyashwant60,
Hidayatullah Barakatullah Patel,100010,F,54,BETUL,011 4119 3907,,,,,,,100010,hbpatel54,
 A M ARIFF,100011,M,21,BHAGALPUR,011 4084 4821,,,,,,,100011,amariff21,
SHANIMOL OSMAN,100012,M,67,BHANDARA - GONDIYA,7590247800,,,,,,,100012,shanimolosman67,
Dr. K. S. RADHAKRISHNAN,100014,F,49,BHIWANI-MAHENDRAGARH,23966021 - 27,,,,,,,100014,ksr49,
RAMYA HARIDAS,100016,M,55,BHONGIR,9910767107,,,,,,,100016,ramyah55,
DR. P.K.BIJU,100017,M,27,DAHOD,011 4057 4667,,,,,,,100017,pkb27,
Syed Ali Khan,100018,M,63,DAKSHINA KANNADA,12 4057 4667,,,,,,,100018,sak63,
SATISH KUMAR GAUTAM,100019,M,27,DAVANAGERE,011-40554055,,,,,,,100019,skg27,
DR. AJEET BALIYAN,100020,M,58,DEORIA,011 2673 0000,,,,,,,100020,abaliyan58,
BIJENDRA SINGH CHAUDHARY,100021,M,54,ELURU,011 4116 8757,,,,,,,100021,bsc54,
JOHN BARLA,100023,M,0,ERNAKULAM,011 4200 0000,,,,,,,100023,jb0,
DASRATH TIRKEY,100024,M,71,FIROZPUR,9223792636,,,,,,,100024,dt71,
MILI ORAON,100025,M,34,GADCHIROLI-CHIMUR,9223797636,,,,,,,100025,mo34,
MOHANLAL BASUMATA,100028,F,72,GUNA,7834908934,,,,,,,100028,mb72,
Jagan Mohan Reddy,100029,M,45,GUNTUR,7834909934,,,,,,,100029,jmr45,
Anand Singh,100030,M,33,JAHANABAD,9845734147,,,,,,,100030,as33,
Biju Emka,100031,M,37,JAIPUR,9845731147,,,,,,,100031,be37,
Yogesh Shukla,100033,M,22,KHUNTI,8932791038,,,,,,,100033,ys22,
Girdhar Gopal Tripathi,100034,M,68,KISHANGANJ,8932790038,,,,,,,100034,ggt68,
Ajay Tamta,100035,M,36,MATHURAPUR,8923097781,,,,,,,100035,at36,
Pradeep Tamta,100036,F,82,MAVAL,8333097781,,,,,,,100036,pt82,
Bablu,100037,M,58,MUMBAI SOUTH CENTRAL,9045178900,,,,,,,100037,bablu58,
Imran Khan,100038,F,57,MUNGER,9045170900,,,,,,,100038,ik57,
CHINTA ANURADHA,100039,F,38,RANCHI,9000562789,,,,,,,100039,ca38,
